,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,TB,RC
178,Scott Kingery,2,126,458,64,118,34,4,19,55,34,147,15,4,.258,274,84.65040650406505
179,Buster Posey,11,114,405,43,104,24,0,7,38,34,71,0,0,.257,180,56.583143507972665
 ,Michael Conforto,5,151,549,90,141,29,1,33,92,84,149,7,2,.257,334,118.72037914691943
 ,David Bote,2,127,303,47,78,17,0,11,41,44,93,5,1,.257,156,54.847262247838614
182,Robinson Cano,15,107,390,46,100,28,0,13,39,25,69,0,0,.256,208,62.65060240963855
 ,Andrew McCutchen,11,59,219,45,56,12,1,10,29,43,55,2,1,.256,123,46.47709923664122
 ,Manny Machado,8,156,587,81,150,21,2,32,85,65,128,5,3,.256,326,107.5
 ,Jonathan Schoop,7,121,433,61,111,23,1,23,59,20,116,1,1,.256,252,72.87417218543047
 ,Nick Senzel,1,104,375,55,96,20,4,12,42,30,101,14,5,.256,196,60.977777777777774
187,Ian Desmond,11,140,443,64,113,31,4,20,65,34,119,3,3,.255,267,82.28301886792453
 ,Jose Ramirez,7,129,482,68,123,33,3,23,83,52,74,24,4,.255,290,95.0374531835206
 ,Victor Robles,3,155,546,86,139,33,3,17,65,35,140,28,9,.255,282,84.45438898450946
190,Evan Longoria,12,129,453,59,115,19,2,20,69,43,112,3,1,.254,239,76.13306451612904
 ,Mike Moustakas,9,143,523,80,133,30,1,35,87,53,98,3,0,.254,336,108.5
 ,Nick Ahmed,6,158,556,79,141,33,6,19,82,52,113,8,2,.254,301,95.54769736842105
 ,Willy Adames,2,152,531,69,135,25,1,20,52,46,153,4,2,.254,268,84.06932409012131
 ,Michael Chavis,1,95,347,46,88,10,1,18,58,31,127,2,1,.254,183,57.611111111111114
195,Domingo Santana,6,121,451,63,114,20,1,21,69,50,164,8,3,.253,241,78.89021956087825
 ,C.J. Cron,6,125,458,51,116,24,0,25,78,29,107,0,0,.253,264,78.60369609856262
 ,Joey Gallo,5,70,241,54,61,15,1,22,49,52,114,4,2,.253,182,70.19112627986348
198,Mitch Moreland,10,91,298,48,75,17,1,19,58,34,74,1,0,.252,188,61.72289156626506
 ,Max Kepler,5,134,524,98,132,32,0,36,90,60,99,1,5,.252,340,111.78082191780823
 ,Yolmer Sanchez,6,149,496,59,125,20,4,2,43,44,117,5,4,.252,185,57.898148148148145
201,Brett Gardner,12,141,491,86,123,26,7,28,74,52,108,10,2,.251,308,99.2633517495396
 ,Jason Heyward,10,147,513,78,129,20,4,21,62,68,110,8,3,.251,265,89.85370051635113
 ,Travis d'Arnaud,7,103,351,52,88,16,0,16,69,32,85,0,1,.251,184,57.65013054830287
 ,Todd Frazier,9,133,447,63,112,19,2,21,67,40,106,1,2,.251,240,74.90759753593429
 ,Curt Casali,6,84,207,24,52,9,0,8,32,25,59,0,0,.251,102,33.85344827586207
 ,Max Muncy,4,141,487,101,122,22,1,35,98,90,149,4,1,.251,309,113.53206239168111
 ,Dansby Swanson,4,127,483,77,121,26,3,17,65,51,124,10,5,.251,250,80.52434456928839
208,Ryan McMahon,3,141,480,70,120,22,1,24,83,56,160,5,1,.250,263,86.35820895522389
 ,Kyle Schwarber,5,155,529,82,132,29,3,38,92,70,156,2,3,.250,351,118.36727879799666
 ,Tim Locastro,3,91,212,38,53,12,2,1,17,14,44,17,0,.250,87,25.792035398230087
211,Brian McCann,15,85,277,28,69,9,0,12,45,31,53,0,0,.249,135,43.83116883116883
 ,Delino DeShields,5,118,357,42,89,15,4,4,32,38,100,24,6,.249,147,47.26329113924051
 ,Joc Pederson,6,149,450,83,112,16,3,36,74,50,111,1,1,.249,297,96.228
 ,Stephen Piscotty,5,93,357,46,89,17,1,13,44,29,84,2,0,.249,178,54.41450777202073
 ,Pedro Severino,5,96,305,37,76,13,0,13,44,29,73,3,1,.249,154,48.41317365269461
 ,Franmil Reyes,2,150,494,69,123,19,0,37,81,47,156,0,0,.249,309,97.09796672828097
 ,Matt Chapman,3,156,583,102,145,36,3,36,91,73,147,1,1,.249,370,122.95731707317073
 ,Josh Naylor,1,94,253,29,63,15,0,8,32,25,64,1,1,.249,125,39.568345323741006
219,Ben Gamel,4,134,311,47,77,18,0,7,33,40,104,2,2,.248,141,47.0
 ,Greg Garcia,6,134,311,52,77,13,4,4,31,53,83,0,2,.248,131,46.785714285714285
 ,Niko Goodrum,3,112,423,61,105,27,5,12,45,46,138,12,3,.248,222,71.47547974413646
 ,Brandon Dixon,2,117,391,41,97,20,4,15,52,21,136,5,1,.248,209,59.859223300970875
223,Eric Thames,5,149,396,67,98,23,2,25,61,51,140,3,2,.247,250,83.33333333333333
 ,Miguel Sano,5,105,380,76,94,19,2,34,79,55,159,0,1,.247,274,93.8528735632184
 ,Garrett Hampson,2,105,299,40,74,9,4,8,27,24,88,15,3,.247,136,41.26315789473684
226,Yasmani Grandal,8,153,513,79,126,26,2,28,77,109,139,5,1,.246,296,111.83279742765274
 ,Cheslor Cuthbert,5,87,309,24,76,14,0,9,40,19,67,1,0,.246,140,40.548780487804876
228,Jason Kipnis,9,121,458,52,112,23,1,17,65,40,88,7,2,.245,229,69.89558232931726
 ,Carson Kelly,4,111,314,46,77,19,0,18,47,48,79,0,0,.245,187,64.57182320441989
 ,Dawel Lugo,2,77,273,28,67,11,4,6,26,8,59,0,0,.245,125,33.362989323843415
231,Albert Pujols,19,131,491,55,120,22,0,23,93,43,68,3,0,.244,256,78.14232209737828
 ,Edwin Encarnacion,15,109,418,81,102,18,0,34,86,58,103,0,1,.244,274,92.10084033613445
 ,Joe Panik,6,142,438,50,107,21,2,5,39,43,47,4,2,.244,175,54.57380457380457
 ,Renato Nunez,4,151,541,72,132,24,0,31,90,44,143,1,1,.244,304,91.45982905982906
235,Adam Engel,3,89,227,26,55,10,2,6,26,14,78,3,3,.242,105,30.062240663900415
236,Adeiny Hechavarria,8,84,203,34,49,12,1,9,33,14,48,3,1,.241,112,32.516129032258064
 ,Marcell Ozuna,7,131,485,80,117,23,1,29,89,62,114,12,2,.241,282,92.28153564899452
 ,Elias Diaz,5,101,303,31,73,14,0,2,28,23,56,0,0,.241,109,32.09815950920245
 ,Dwight Smith Jr.,3,101,357,46,86,16,3,13,53,26,82,5,1,.241,179,52.344647519582246
240,Robbie Grossman,7,138,420,57,101,21,3,6,38,59,86,9,4,.240,176,58.78914405010438
 ,Chad Pinder,4,124,341,45,82,21,0,13,47,20,88,0,1,.240,176,49.72853185595568
 ,Nicky Lopez,1,103,379,44,91,22,2,2,30,18,51,1,1,.240,149,40.90931989924433
243,Josh Phegley,7,106,314,44,75,18,0,12,62,15,63,0,1,.239,159,43.495440729483285
 ,Kyle Seager,9,106,393,55,94,19,1,23,63,44,86,2,2,.239,227,71.6842105263158
 ,Wil Myers,7,155,435,58,104,22,1,18,53,51,168,16,7,.239,223,71.12139917695474
 ,Roberto Perez,6,119,389,46,93,9,1,24,63,45,127,0,0,.239,210,66.7741935483871
 ,Jose Peraza,5,141,376,37,90,18,2,6,33,17,58,7,6,.239,156,42.47328244274809
248,Dexter Fowler,12,150,487,69,116,24,1,19,67,74,142,8,5,.238,243,82.29946524064171
 ,Robinson Chirinos,8,114,366,57,87,22,1,17,58,51,125,1,2,.238,202,66.84892086330935
 ,Brian Dozier,8,135,416,54,99,20,0,20,50,61,105,3,4,.238,219,73.45911949685535
251,Didi Gregorius,8,82,324,47,77,14,2,16,61,17,53,2,1,.238,175,48.240469208211145
 ,Isiah Kiner-Falefa,2,65,202,23,48,12,1,1,21,14,49,3,0,.238,79,22.675925925925927
 ,Luis Rengifo,1,108,357,44,85,18,3,7,33,40,93,2,5,.238,158,49.74811083123426
254,Tim Beckham,6,88,304,39,72,21,1,15,47,21,102,1,3,.237,177,50.64923076923077
 ,Enrique Hernandez,6,130,414,57,98,19,1,17,64,36,97,4,0,.237,207,61.64
 ,Addison Russell,5,82,215,25,51,4,1,9,23,20,58,2,0,.237,98,29.608510638297872
 ,Josh VanMeter,1,96,228,33,54,13,1,8,23,29,56,9,3,.237,115,37.14007782101167
258,Jesus Aguilar,6,131,314,39,74,12,0,12,50,43,81,0,0,.236,146,47.84873949579832
 ,Albert Almora Jr.,4,130,339,41,80,11,1,12,32,16,62,2,1,.236,153,41.374647887323945
260,Aaron Hicks,7,59,221,41,52,10,0,12,36,31,72,1,2,.235,120,39.523809523809526
 ,JaCoby Jones,4,88,298,39,70,19,3,11,26,27,94,7,2,.235,161,48.05230769230769
262,Gerardo Parra,11,119,274,38,64,14,1,9,48,19,59,8,3,.234,131,37.10921501706485
 ,Brandon Belt,9,156,526,76,123,32,3,17,57,83,127,4,3,.234,264,89.30049261083744
 ,Maikel Franco,6,123,389,48,91,17,0,17,56,36,61,0,0,.234,193,57.67294117647059
 ,Manuel Margot,4,151,398,59,93,19,3,12,37,38,88,20,4,.234,188,56.48623853211009
 ,Steven Duggar,2,73,261,26,61,12,2,4,28,16,78,1,4,.234,107,29.743682310469314
 ,Cavan Biggio,1,100,354,66,83,17,2,16,48,71,123,14,0,.234,187,67.76
268,Martin Prado,14,104,245,26,57,9,0,2,15,12,41,0,0,.233,83,22.284046692607003
 ,Jake Marisnick,7,120,292,46,68,16,3,10,34,17,95,10,3,.233,149,40.98705501618123
 ,Johan Camargo,3,98,232,31,54,12,1,7,32,15,43,1,0,.233,109,30.44939271255061
 ,Christin Stewart,2,104,369,32,86,25,1,10,40,34,103,0,1,.233,179,53.30024813895782
 ,Paul DeJong,3,159,583,97,136,31,1,30,78,62,149,9,5,.233,321,98.53953488372093
273,Jason Castro,9,79,237,39,55,9,0,13,30,33,88,0,0,.232,125,40.74074074074074
 ,Jonathan Lucroy,10,101,293,30,68,10,1,8,36,27,51,0,0,.232,123,36.515625
 ,Gary Sanchez,5,106,396,62,92,12,1,34,77,40,125,0,1,.232,255,77.20183486238533
